,address,withdrawal_address,staked_RPL,node_RPL,withdrawal_RPL,nETH,pETH
1855,0xA8Dc6eA97607d7702AC83053dbb2A3CdB88A4e52,0xE0d1C7c3166C3a69d6fDe057143426435646FBaB,528.9978231178711,0.0,0.0,56.0,72.0
1856,0x1019a8f6473ea06FDeC69581b172401C19C9dc5e,0x934d4c153998a72AAb89Ad3eB53fDeccCf781fB2,131.5084672022894,0.0,0.0,16.0,16.0
1857,0xFCC28F90Df84D78C49d310cEeDdd4f96aACBb724,0xEe2eEe02E022A7726c0e0B4a49555bC3195faAA8,513.5520823583122,0.0,80.79208017204654,32.0,64.0
1858,0x651A7B585bcD4F047ea09c117f4Ae82DA58f5650,0x651A7B585bcD4F047ea09c117f4Ae82DA58f5650,272.80381240824505,0.0,0.0,48.0,48.0
1859,0xFf78d763E69BB59e466080beA61dca383144Ad08,0xFf78d763E69BB59e466080beA61dca383144Ad08,218.299571,0.0,0.0,32.0,32.0
1860,0x925eEcA41B964f04ac942a68EA1cD09cD9A76F8C,0x00158490693Fa7384C7a010a9563f3BFce47b69f,859.9899413637276,0.0,0.0,64.0,192.0
1861,0x8C619Ca6FB5d634fD8e57d53e0b50422a70c0723,0x9ebacde6f288bde156BaFff83441C3fA27edCEfE,250.0,0.0,13.524957662041068,16.0,16.0
1862,0xfdE82eA5f35755144b9D0EC901832704cb2164F2,0x750abF64C1C47Ea6813203a97F6012bB3E3f3686,2750.4267681276824,0.0,0.0,80.0,240.0
1863,0x7B34aC48728659144a1d81CC6cbDC05Fb268DEBB,0x7B34aC48728659144a1d81CC6cbDC05Fb268DEBB,2012.6696021919117,0.0,0.0,32.0,96.0
1864,0xa63C70D288501aB89312b0b9D5AE4B9D5355539d,0x73f0979B87EA22A12340a8bab200785d81BC0140,908.5350522589076,0.0,0.0,16.0,16.0
1865,0x91A9D7D174daeA9cb0534BD870D86d19C6149E71,0x02a7196da9F999a0eCcaC29932e43ac3f6740555,2642.6835071674723,483.343129201237,0.0,280.0,520.0
1866,0xB09f255289Aad8a9f9F10818D6C5FE619a202461,0xB09f255289Aad8a9f9F10818D6C5FE619a202461,115.95139129922246,0.0,0.0,16.0,16.0
1867,0x1296f292eF267728A7A30784832ad02605d3bdD5,0xC303aB3e0c2a4E0dc779C50259514D175211e847,410.827110474225,0.0,0.0,40.0,56.0
1868,0x54445C49aa4b4884d5F9423f00c26ADc7e305050,0xDfc1e0240695104faAf4f8fEAe8Ca976073429FB,295.0609431368427,0.0,0.0,16.0,48.0
1869,0x17E58D9eC082b58D315F7A7b4CE5b1b0932E8F65,0xb4289e3774cE63fA8B293b99431Fdf3C3C117f92,461.96624559921025,0.0,6.6825e-14,48.0,48.0
1870,0xdA45506BE510611FC0BE2a0479735df1220ae5dF,0x16d5567486Cf972aF4CF030a780Ad3d2eC728796,1380.2508442956662,0.0,0.0,64.0,192.0
1871,0x63A0Cb39ddFf858F608B4708FDC72Be83Ab40b5E,0xFf78d763E69BB59e466080beA61dca383144Ad08,5160.140047119814,0.0,0.0,728.0,1160.0
1872,0x41ADaBb820849b1D4f47C73E87F20Ca2230AABc7,0x2C2b50e0A3e6840d9275791a70404359c3aba1b3,0.0,0.0,0.0,0.0,0.0
1873,0x205425De2fc0BE6089e6BF9256EEC3aDFB1B3Fa6,0x548FfEae1c632DFD01C91E328D7C4d84A1b5DAC8,233.0195875631877,0.0,0.0,24.0,40.0
1874,0x24369d84f19E2ebD17CA0E1Bb2048db660ac0747,0xAA622c499148E3a9FB4F7b5eb9Ed66EDEFDd2543,649.0899485258516,0.0,0.0,64.0,128.0
1875,0x99ce02b15E68c6F085fFE647be4958cD47F7FA99,0x99ce02b15E68c6F085fFE647be4958cD47F7FA99,0.0,0.0,0.0,0.0,0.0
1876,0x45135fA3a5Ad74e8eB690A1F68B063f0d1B0202B,0x45135fA3a5Ad74e8eB690A1F68B063f0d1B0202B,2457.561756030877,0.0,0.0,112.0,336.0
1877,0xfc7664224e0bc99320E005872DeA2d81E929E229,0xfc7664224e0bc99320E005872DeA2d81E929E229,0.0,0.0,0.0,0.0,0.0
1878,0x6C63a01346EAC59F420ad36AfC32c09653A3A10c,0x4126e59439524C6aa971347E5d6501d33b5eE22B,950.0,0.0,26.176154640259465,144.0,208.0
1879,0xd73246f473365Dcfe2275C2BD97014d996b8c2b3,0xe48C14bF15A9fca7A4eae0d508ECF3b4c76D2cad,159.48508604019986,0.0,0.0,16.0,16.0
1880,0x48D2812C748bfb38C0713d9FbB0783C3D6032810,0x48D2812C748bfb38C0713d9FbB0783C3D6032810,115.82609167480075,0.0,0.0,16.0,16.0
1881,0xb7B1F23840AC93D6FfA281845D46e4818d026BdE,0xb7B1F23840AC93D6FfA281845D46e4818d026BdE,1188.6866346402899,0.0,0.0,16.0,48.0
1882,0x2A9DEbC8D63B23dac1D20289e73a8EA1D8d028E3,0x5E68063DA3E02F5234344de5d374ac0eb2d4b8D1,363.94912145299077,0.0,0.0,16.0,48.0
1883,0x399C526c1811DD598d9C7b595659BFe5857914D5,0xdCeB9bc20244b3e83aaCA405Ed06896724E47c8c,0.0,0.0,0.0,0.0,0.0
1884,0x6EFBc02FA603C20536b3631b4E09564EA92d1336,0x6EFBc02FA603C20536b3631b4E09564EA92d1336,0.0,0.0,0.0,0.0,0.0
1885,0xa94e23D635B9DDA3fD8FB30CAfA5b90658A89e1f,0x1aE4f1a178abfC6b7C90dA19917676b82c698E4b,470.76264293955836,0.0,0.0,40.0,56.0
1886,0xAbe59C7064e26fe156C988F2f7670b4963379c40,0x3841D84a5ED84bcd6261C49D656c4815619CDb45,710.1275300346092,0.0,0.0,96.0,96.0
1887,0x95A71Da18bC0478858851D84Ad0f6DB427f1fCA9,0xC01Cebf1e28844D6FB2BA0F247F3A9acb94EC30A,664.8586682464158,0.0,0.0,72.0,88.0
1888,0x80843A31F4EE9474C4B57881EB7856B200205901,0xCa205dcFE13a4748f6411A3601edf9De7a35CC26,359.3459201343488,66.11132783794616,0.0,40.0,88.0
1889,0xb8a0C878bCD6064fD3D018a2eFCdE86AFe449A32,0x3c415b14b564db310CED8b1a23C840106478ca04,947.04875427,0.0,24.46466073847093,176.0,176.0
1890,0xf784B94e73Efeff4D8bC575475a47b9483Fd34b8,0xf784B94e73Efeff4D8bC575475a47b9483Fd34b8,145.36359991984145,0.0,0.0,16.0,16.0
1891,0xDBef206584d2b84b625c7d78067aE977f8EE1A29,0xDD889acBd59D2Fba76cA8346D48eA1e94b059a6a,455.2831451355363,0.0,0.0,64.0,64.0
1892,0x67edA0d57c2C13909761888d848077F058fDBc39,0x9D61C3244eF32c7934B82C4BB6e689d21F451229,0.0,0.0,0.0,0.0,0.0
1893,0x628E5986195Fa798165fa5f420B4407D692935b6,0x6d511b35456FeAC8D9b484144A21368493CeFcbc,1200.0,0.0,0.0,16.0,16.0
1894,0xFA7ae9d9fF19d042Ee9d969677ce34472b148861,0xA2D6Bd46945752c51CC8f24cBf4B60aB30158BEA,628.1517020570648,0.0,0.0,40.0,88.0
1895,0xEDEBFfc4078BBAB8a063E4273BAaf785AB96E869,0xEDEBFfc4078BBAB8a063E4273BAaf785AB96E869,119.84457166354571,5.530676198564994,5.530676198564994,16.0,16.0
1896,0x2696297D9729C0854A7cB9AF25B64B4bd82D6c6E,0xAc1e9D0e27BacC4c9A0d08C279D369606BEC743F,210.7373739915431,0.0,0.0,16.0,16.0
1897,0x48b95B68B29F81CeC0567F43EC9Ca3d551431144,0xfD98C8054072299F75437f13BeD976db0B9EDCEC,0.0,0.0,0.0,0.0,0.0
1898,0xcD54Cc88aC8bb4f437937b5DFa9C341570c6169b,0xcD54Cc88aC8bb4f437937b5DFa9C341570c6169b,0.0,0.0,0.0,0.0,0.0
1899,0x30167d62FD4Ba453e66d2aeD98506B67AE835447,0x30167d62FD4Ba453e66d2aeD98506B67AE835447,0.0,0.0,0.0,0.0,0.0
1900,0x6384D3861D0DaDCDc758d06DA7D9628e4ed41d1a,0x60504337e05583B94dD68cFa92b3DAca2b9e1C2B,0.0,0.0,0.0,0.0,0.0
1901,0xD02e4cA21CcdD67fbB9dD0881414F20dB499cA11,0x5FE6e1c3D3eAC0b865adE4690859A914f052cab0,5476.672162736848,0.0,0.0,768.0,1120.0
1902,0x153695e57A1f47918A93a484Fa1CBB251bE9DE07,0x153695e57A1f47918A93a484Fa1CBB251bE9DE07,10112.722081991447,21.35881089531274,21.35881089531274,168.0,504.0
1903,0x6E4a215aa1d3372B81aA89637484Da8aFc900F90,0x6E4a215aa1d3372B81aA89637484Da8aFc900F90,1160.2741773322414,0.0,0.0,160.0,160.0
1904,0xEC2d3df5Cf9C46764AF295A0d5d5e07d84C1A329,0xD408c5DdcBf297dcAa745009277007429719E205,93.12284999999999,0.0,9.959115381987e-06,16.0,16.0
1905,0xD29BC8913657a16577D5A935Dae1F01634759A77,0xa918d17e55d5Dc38172BF0242696312FA68Ef73A,931.0422215157851,0.0,0.0,40.0,88.0
1906,0xd7965fE888b593ff56B817E901023E4f9005372A,0xd7965fE888b593ff56B817E901023E4f9005372A,103.61952669,0.0,0.0,16.0,16.0
1907,0x200c4D0129241978F96D25d609dFF64D0F548A2F,0x097098201981909D19E370A83d94cD2773D2d6df,415.78543743344954,0.0,0.0,32.0,96.0
1908,0x49a8a7a45F9214026A7F5D6eF7508F6EE0017C66,0xc3ecf515d9f12C7f3c795663b5630257106a4Ba5,138.0318782307073,0.0,0.0,16.0,16.0
1909,0x99e866f58272eAD216F1aA8d1b4ABB6B7751add5,0x01D1dF133dd7af699b458E41007580ddE4B95E57,343.6576327046202,0.0,0.0,16.0,48.0
1910,0x3C5C2e460c92F98FE187e860511F6b8bf3f1Ab55,0x0Ac7286c16363D257c3331014c82942092b57826,562.379016535362,0.0,0.0,32.0,96.0
1911,0xB01185cB68A8df85AC2b20b24E5EAcDeA0F187Bd,0xB01185cB68A8df85AC2b20b24E5EAcDeA0F187Bd,379.2725400305042,0.0,0.0,16.0,16.0
1912,0xbb2870C4C46584e9c41F96AaEA1fbb89F9cE782A,0xa019C86094600551F5Ec385a2E9f824e15300D8B,225.89235884561273,0.0,0.0,16.0,16.0
1913,0x8e0d4e3Cfdc0605B42F6ad084e361367Fa2ad238,0x8e0d4e3Cfdc0605B42F6ad084e361367Fa2ad238,1350.0,630.6085539701011,630.6085539701011,32.0,64.0
1914,0xbefcF37A1a9658eAE00806Da72a85E971fc8f454,0xbc64Aa724A34A63b44B9Edd6e37BEAD219502D2F,199.31290545570488,0.0,0.0,16.0,48.0
1915,0x7b5F764A4Bc202f8aDE0A94Be2df4AD8747B7C7C,0x7b5F764A4Bc202f8aDE0A94Be2df4AD8747B7C7C,458.92615612103026,0.0,0.0,48.0,48.0
1916,0x872dCEf153aB237Ee24d4ce3Fdc401B094D60A0f,0x872dCEf153aB237Ee24d4ce3Fdc401B094D60A0f,200.1329207212196,0.0,0.0,16.0,16.0
1917,0xb06d5B188500D83671C8544c6fA269E0Fd6d9065,0x57F8F1C6F5ce06d4F2e059a4bcff68402a9d4f4C,479.8583637965253,0.0,0.0,32.0,96.0
1918,0x73B1794B99107B819a56429d73B2AEF440802928,0x60BDa3145a926C51b8efa6522324a686997c151f,0.0,0.0,0.0,0.0,0.0
1919,0x406ea7ADE52d27d2AF2D4ae21E93428EAF445536,0xcf79f0050b958EeC49ae6c64d11FE708cF54f1C2,305.3806447148327,0.0,0.0,32.0,32.0
1920,0x78F8d2e72e66890eE4592c8a3c665Ce19A89a7E5,0xe67e43b831A541c5Fa40DE52aB0aFbE311514E64,0.0,0.0,0.0,0.0,0.0
1921,0x3d6D4DF3489332A069BF1cB3bf8c388eF5f45361,0x3d6D4DF3489332A069BF1cB3bf8c388eF5f45361,243.82185620572704,0.0,0.0,16.0,48.0
1922,0x388bc148D8543eFfadCb21a77AD4F6a254920646,0x3D085Bd954dD1e74076B8fC3a1A338F9C0fe1E05,1410.9601749343258,0.0,0.0,64.0,192.0
1923,0x08A715c3E79204125D63b08517F290B7ECF0aAA8,0x08A715c3E79204125D63b08517F290B7ECF0aAA8,114.22447896352486,0.0,0.0,16.0,16.0
1924,0x5067184930398E482f7843E466A59Cc9Ce1a8E45,0xF26348894EcBc1E0789Cbbdab3D78284908758ae,987.7476591895669,0.0,0.0,80.0,240.0
1925,0x9CC1987731FcC1C7824c4f30Ed24373BBF0BD6Eb,0xeCefFe04767D294d377710E259845995246Da9c6,423.90461805,0.0,0.0,32.0,96.0
1926,0xEd1DC951004836156131bA51c7097FC3B4dF9C79,0xEd1DC951004836156131bA51c7097FC3B4dF9C79,799.3599171442536,0.0,0.0,16.0,16.0
1927,0x59850772eb09f2D97B1b6826C8394bE31Ac487fA,0xB64F3884CEed18594bd707122988e913fA26F4bF,145.14250345276398,0.0,8.540000000000001,32.0,32.0
1928,0xFff1F570f09C073b6621c032B6072847Fe9d6fac,0xDf33162f2fE3ce84CAF0cCeBFbe7b20b2078101E,0.0,0.0,0.0,0.0,0.0
1929,0xc44b0378E400a9958219EC8F294C23b9976e3C5D,0xc44b0378E400a9958219EC8F294C23b9976e3C5D,157.870948791794,0.0,0.0,16.0,16.0
1930,0x76742EA55CB32D46588DF713eb31A930327D19B4,0x76742EA55CB32D46588DF713eb31A930327D19B4,109.0,0.0,0.0,16.0,16.0
1931,0x47CF173BcA05e67c54984Cb160D4F8D64046E7e5,0x1f200B140074E17a574f70bbCE04C161b4CAeEa0,5961.732970767391,0.0,0.0,256.0,256.0
1932,0xDd677B8375c170201764A5d415861Fb36Da5b5E3,0x2C3028ab91bd383249D06d9BDD10283d9668e421,140.33318094134398,0.0,0.0,16.0,16.0
1933,0x556bD3BF1860aB93482C4DaeA99270E96a68bC6a,0x1f9E383A9a843400264aC8A368928b778046cB8A,0.0,0.0,0.0,0.0,0.0
1934,0xF6132f532ABc3902EA2DcaE7f8D7FCCdF7Ba4982,0x7248f119fEa1dc252084dfDBa285C67Db3fD40A3,84.06169611734994,20.961671602008135,3.7281231487189292,16.0,16.0
