,ratio
15451165,0.01523807682524298
15637542,0.018283031891409098
15839520,0.016354307756834375
16038366,0.014131388657992123
16238906,0.015937200009608805
16439406,0.02209878097798589
16639856,0.028266024350870896
16841781,0.02324455344684871
17037278,0.02296207567670284
17235705,0.02562679494830975
17434106,0.026008872812343296
17633377,0.020112682695591803
17832789,0.01602038494219802
18032731,0.014015567200495705
18232825,0.013655876675657147
18432450,0.014015567200495705
18632502,0.013405577874135844
18832296,0.012112959945236824
19031794,0.013352065334647126
19231376,0.011195141494023848
19431307,0.009442194330790564
19631250,0.007972489978371317
19830533,0.006922686538573136
20030845,0.005551204668932539
20231194,0.005621026714944247
20431741,0.004557730585445546
20632306,0.004975970521609393
20832848,0.004190118544312452
